# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cpu-clock'
# Event count (approx.): 45010100560
#
# Overhead  Command          Shared Object            Symbol                                                                                                                                                                                                                                                                                                                                                                           
# ........  ...............  .......................  .................................................................................................................................................................................................................................................................................................................................................................................
#
    59.81%  graph_googlenet  libarm_compute_core.so   [.] arm_gemm::a64_sgemm_asimd_12x8_jumps
    10.30%  graph_googlenet  libarm_compute_core.so   [.] arm_compute::NEPoolingLayerKernel::poolingMxN_f32_nhwc<(arm_compute::PoolingType)0, false>
     7.02%  graph_googlenet  libarm_compute_core.so   [.] arm_compute::NEGEMMInterleavedTransformAWrapperTemplate<float, false>::transform
     6.80%  graph_googlenet  libarm_compute_core.so   [.] arm_compute::NEIm2ColKernel::run_generic<float, true>
     5.61%  graph_googlenet  libarm_compute_core.so   [.] arm_compute::NEGEMMInterleavedMatrixMultiplyWrapperTemplate<float, float, false>::transform
     3.07%  graph_googlenet  libarm_compute_core.so   [.] arm_compute::NENormalizationLayerKernel::normalize_float<(arm_compute::DataType)11, 0u, false>
     1.39%  graph_googlenet  libarm_compute.so        [.] arm_compute::NEGEMM::~NEGEMM@plt
     0.96%  graph_googlenet  libarm_compute_core.so   [.] arm_compute::NEWidthConcatenateLayerKernel::run
     0.67%  graph_googlenet  libarm_compute.so        [.] arm_compute::ITensorAllocator::info
     0.61%  graph_googlenet  libarm_compute_core.so   [.] arm_compute::NEActivationLayerKernel::activation<(arm_compute::ActivationLayerInfo::ActivationFunction)2, float>
     0.61%  graph_googlenet  libarm_compute_core.so   [.] arm_compute::NEPixelWiseMultiplicationKernel::run
     0.54%  graph_googlenet  libarm_compute.so        [.] arm_compute::Tensor::info
     0.45%  graph_googlenet  libarm_compute_core.so   [.] arm_gemm::a64_sgemm_native_16x4
     0.27%  graph_googlenet  libarm_compute_core.so   [.] arm_gemm::a64_sgemv_pretransposed
     0.25%  graph_googlenet  libarm_compute_core.so   [.] (anonymous namespace)::add_F32_F32_F32
     0.20%  graph_googlenet  libarm_compute_core.so   [.] (anonymous namespace)::weights_reshape<unsigned int, true>
     0.16%  graph_googlenet  [kernel.kallsyms]        [k] handle_mm_fault
     0.16%  graph_googlenet  libarm_compute_core.so   [.] (anonymous namespace)::mul_F32_F32_F32_n<false, false>
     0.13%  graph_googlenet  libarm_compute_core.so   [.] arm_compute::NEGEMMInterleavedPrepareBWrapperKernelTemplate<float, false>::transform
     0.09%  graph_googlenet  libc-2.24.so             [.] __GI_memset
     0.07%  graph_googlenet  [kernel.kallsyms]        [k] _raw_spin_unlock_irqrestore
     0.07%  graph_googlenet  libarm_compute_core.so   [.] arm_compute::NEFillBorderKernel::fill_constant_value_single_channel<float>
     0.04%  graph_googlenet  [kernel.kallsyms]        [k] clear_page
     0.04%  graph_googlenet  [kernel.kallsyms]        [k] el0_da
     0.04%  graph_googlenet  [kernel.kallsyms]        [k] el0_svc_naked
