# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu-clock'
# Event count (approx.): 14020201880
#
# Overhead  Command          Shared Object            Symbol                                                                                                                                                                                                                                                                                                                                                                           
# ........  ...............  .......................  .................................................................................................................................................................................................................................................................................................................................................................................
#
    54.39%  graph_mobilenet  libarm_compute_core.so   [.] arm_gemm::a64_sgemm_asimd_12x8_jumps
    15.71%  graph_mobilenet  libarm_compute_core.so   [.] arm_gemm::a64_sgemm_native_16x4
    12.54%  graph_mobilenet  libarm_compute_core.so   [.] arm_compute::NEBatchNormalizationLayerKernel::batch_normalization_fp32_nhwc<true, arm_compute::detail::brelu<float, 4> >
     3.46%  graph_mobilenet  libarm_compute_core.so   [.] arm_compute::NEGEMMInterleavedMatrixMultiplyWrapperTemplate<float, float, false>::transform
     2.45%  graph_mobilenet  libarm_compute_core.so   [.] depthwise::DepthwiseConvolutionImpl<4, 4, 3, 3, 1, 1, float, float>::process_tile<true, 0, 0, 0, 0, 0, 0>
     2.38%  graph_mobilenet  libarm_compute_core.so   [.] depthwise::DepthwiseConvolutionImpl<3, 3, 3, 3, 2, 2, float, float>::process_tile<true, 0, 0, 0, 0, 0, 0>
     1.44%  graph_mobilenet  libarm_compute_core.so   [.] (anonymous namespace)::weights_reshape<unsigned int, true>
     0.94%  graph_mobilenet  libarm_compute_core.so   [.] arm_compute::NEGEMMInterleavedTransformAWrapperTemplate<float, false>::transform
     0.86%  graph_mobilenet  libarm_compute_core.so   [.] arm_compute::NEIm2ColKernel::run_generic<float, true>
     0.86%  graph_mobilenet  libarm_compute_core.so   [.] depthwise::DepthwiseConvolutionImpl<4, 4, 3, 3, 1, 1, float, float>::process_tile<true, 0, 1, 0, 0, 0, 0>
     0.79%  graph_mobilenet  libarm_compute_core.so   [.] depthwise::DepthwiseConvolutionImpl<4, 4, 3, 3, 1, 1, float, float>::process_tile<false, 0, 0, 0, 0, 0, 0>
     0.72%  graph_mobilenet  libarm_compute_core.so   [.] arm_gemm::a64_sgemv_pretransposed
