graph_alexnet_2 cpu
10 10 20.707900000000002
10 20 27.181099999999997
10 30 35.1212
10 40 43.295
10 50 52.6131
20 10 44.1078
20 20 59.546400000000006
20 30 74.2558
20 40 91.66359999999999
20 50 109.3052
30 10 67.67009999999999
30 20 92.0634
30 30 116.334
30 40 143.7936
30 50 170.8407
40 10 91.35040000000001
40 20 123.16000000000001
40 30 159.0416
40 40 195.84040000000002
40 50 228.59120000000001
50 10 114.66499999999999
50 20 154.1925
50 30 200.019
50 40 247.511
50 50 291.3775
graph_alexnet_2 gpu
10 10 14.211
10 20 18.7283
10 30 27.056800000000003
10 40 28.2795
10 50 32.3046
20 10 28.6666
20 20 38.2292
20 30 60.5518
20 40 68.8528
20 50 78.0292
30 10 51.91589999999999
30 20 59.3973
30 30 81.6669
30 40 155.1723
30 50 102.3321
40 10 70.538
40 20 75.13119999999999
40 30 73.9184
40 40 127.1552
40 50 120.47200000000001
50 10 65.479
50 20 100.6775
50 30 133.454
50 40 171.3505
50 50 180.452
graph_alexnet_2 cpu gpu
10 10 11.0138
10 20 14.1539
10 30 19.3861
10 40 23.0458
10 50 24.901200000000003
20 10 21.7606
20 20 28.965
20 30 34.7288
20 40 41.882400000000004
20 50 50.0242
30 10 32.3499
30 20 42.201
30 30 51.9657
30 40 64.3338
30 50 75.2814
40 10 41.7144
40 20 56.467999999999996
40 30 70.264
40 40 87.9368
40 50 104.4668
50 10 53.715
50 20 70.22800000000001
50 30 88.4675
50 40 109.152
50 50 129.398
graph_mobilenet_2 cpu
10 10 6.93881
10 20 11.7075
10 30 15.9071
10 40 21.732499999999998
10 50 26.988
20 10 12.22092
20 20 24.9954
20 30 38.615
20 40 53.8732
20 50 72.5226
30 10 24.20871
30 20 46.0161
30 30 70.2462
30 40 92.7915
30 50 117.3648
40 10 35.344120000000004
40 20 67.0612
40 30 89.3372
40 40 130.3172
40 50 157.0056
50 10 43.86725
50 20 86.36749999999999
50 30 126.40499999999999
50 40 163.267
50 50 208.52499999999998
graph_mobilenet_2 gpu
10 10 11.597999999999999
10 20 10.2241
10 30 15.5151
10 40 25.2012
10 50 30.374200000000002
20 10 18.8459
20 20 34.2446
20 30 32.2154
20 40 44.828
20 50 53.4624
30 10 23.790000000000003
30 20 33.5391
30 30 49.8096
30 40 42.6165
30 50 84.5202
40 10 36.06896
40 20 43.1452
40 30 64.1704
40 40 61.71039999999999
40 50 107.56
50 10 37.5927
50 20 52.823
50 30 82.0995
50 40 83.905
50 50 154.1625
graph_mobilenet_2 cpu gpu
10 10 5.99336
10 20 8.56335
10 30 12.366399999999999
10 40 14.7499
10 50 17.0368
20 10 10.818060000000001
20 20 16.38842
20 30 22.9292
20 40 25.9298
20 50 31.871399999999998
30 10 15.39417
30 20 23.42937
30 30 31.525199999999998
30 40 41.7258
30 50 51.9696
40 10 20.3612
40 20 31.0594
40 30 42.807199999999995
40 40 56.809200000000004
40 50 70.8448
50 10 24.2416
50 20 41.27455
50 30 55.98
50 40 71.2935
50 50 85.729
graph_googlenet_2 cpu
10 10 15.516399999999999
10 20 24.4374
10 30 38.2427
10 40 54.2669
10 50 70.7791
20 10 31.436600000000002
20 20 58.2042
20 30 88.5186
20 40 118.60300000000001
20 50 149.5814
30 10 49.1376
30 20 91.788
30 30 139.4853
30 40 177.9366
30 50 223.9608
40 10 67.7936
40 20 125.5284
40 30 185.40959999999998
40 40 246.8808
40 50 310.808
50 10 81.5315
50 20 154.46699999999998
50 30 230.531
50 40 308.1725
50 50 386.4275
graph_googlenet_2 gpu
10 10 23.9816
10 20 27.936100000000003
10 30 35.9482
10 40 83.963
10 50 71.079
20 10 50.8064
20 20 56.2936
20 30 86.1746
20 40 68.9846
20 50 148.0028
30 10 51.5067
30 20 68.685
30 30 98.3694
30 40 153.8358
30 50 129.4353
40 10 66.20320000000001
40 20 97.374
40 30 159.028
40 40 206.44639999999998
40 50 239.798
50 10 127.68900000000001
50 20 132.604
50 30 154.013
50 40 189.2945
50 50 223.50850000000003
graph_googlenet_2 cpu gpu
10 10 14.4057
10 20 18.9808
10 30 24.2564
10 40 26.875300000000003
10 50 32.3477
20 10 20.7634
20 20 33.3546
20 30 35.1678
20 40 44.6566
20 50 51.3664
30 10 26.9817
30 20 39.8115
30 30 47.0649
30 40 61.5348
30 50 73.191
40 10 33.243
40 20 50.1316
40 30 67.4616
40 40 83.15440000000001
40 50 109.8024
50 10 42.50815
50 20 59.955499999999994
50 30 81.162
50 40 102.708
50 50 123.57400000000001
graph_squeezenet_2 cpu
10 10 8.0913
10 20 14.5786
10 30 21.282700000000002
10 40 27.797
10 50 33.9933
20 10 15.339659999999999
20 20 27.9814
20 30 41.3272
20 40 54.0818
20 50 67.7972
30 10 22.049220000000002
30 20 41.2506
30 30 61.7439
30 40 83.23559999999999
30 50 102.9837
40 10 29.18376
40 20 55.7124
40 30 83.21600000000001
40 40 109.0132
40 50 136.814
50 10 36.42015
50 20 70.3155
50 30 104.544
50 40 137.432
50 50 171.2005
graph_squeezenet_2 gpu
10 10 10.8866
10 20 17.901899999999998
10 30 15.294
10 40 20.659299999999998
10 50 19.1825
20 10 19.103859999999997
20 20 31.6672
20 30 41.833
20 40 48.5588
20 50 45.4608
30 10 23.932830000000003
30 20 34.2987
30 30 50.4018
30 40 73.134
30 50 65.8347
40 10 33.31784
40 20 45.903999999999996
40 30 92.19120000000001
40 40 94.25280000000001
40 50 89.6716
50 10 39.42035
50 20 70.392
50 30 57.330499999999994
50 40 88.201
50 50 111.202
graph_squeezenet_2 cpu gpu
10 10 8.54967
10 20 9.86177
10 30 13.101799999999999
10 40 14.9296
10 50 17.9729
20 10 10.6229
20 20 15.27186
20 30 20.607799999999997
20 40 25.2616
20 50 28.757199999999997
30 10 14.31021
30 20 20.70627
30 30 27.71094
30 40 34.9401
30 50 42.4224
40 10 17.97296
40 20 26.274
40 30 34.13376
40 40 42.790800000000004
40 50 54.438
50 10 20.6262
50 20 33.80955
50 30 42.9544
50 40 55.037499999999994
50 50 65.507
