TL = 80000
graph = alexnet
version = 
Images = 100
Inferences = 10
***
Profiling Time
[1/3] Processing CPU Small
CPU Small [1/100] 2.24405
CPU Small [2/100] 2.24844
CPU Small [3/100] 2.13373
CPU Small [4/100] 2.19638
CPU Small [5/100] 2.18202
CPU Small [6/100] 2.2854
CPU Small [7/100] 2.23571
CPU Small [8/100] 2.1623
CPU Small [9/100] 2.19659
CPU Small [10/100] 2.10584
CPU Small [11/100] 2.20164
CPU Small [12/100] 2.19174
CPU Small [13/100] 2.13372
CPU Small [14/100] 2.17537
CPU Small [15/100] 2.17985
CPU Small [16/100] 2.09484
CPU Small [17/100] 2.25321
CPU Small [18/100] 2.09409
CPU Small [19/100] 2.25792
CPU Small [20/100] 2.15838
CPU Small [21/100] 2.25082
CPU Small [22/100] 2.21765
CPU Small [23/100] 2.27371
CPU Small [24/100] 2.26469
CPU Small [25/100] 2.1896
CPU Small [26/100] 2.29006
CPU Small [27/100] 2.28189
CPU Small [28/100] 2.20859
CPU Small [29/100] 2.17012
CPU Small [30/100] 2.19717
CPU Small [31/100] 2.22659
CPU Small [32/100] 2.16874
CPU Small [33/100] 2.22681
CPU Small [34/100] 2.03538
CPU Small [35/100] 2.26566
CPU Small [36/100] 2.09806
CPU Small [37/100] 2.17632
CPU Small [38/100] 2.4277
CPU Small [39/100] 2.17657
CPU Small [40/100] 2.22655
CPU Small [41/100] 2.25381
CPU Small [42/100] 2.26606
CPU Small [43/100] 2.33966
CPU Small [44/100] 2.23408
CPU Small [45/100] 2.19025
CPU Small [46/100] 2.2431
CPU Small [47/100] 2.21983
CPU Small [48/100] 2.18132
CPU Small [49/100] 2.20018
CPU Small [50/100] 2.2024
CPU Small [51/100] 2.20578
CPU Small [52/100] 2.04346
CPU Small [53/100] 2.28229
CPU Small [54/100] 2.06462
CPU Small [55/100] 2.33382
CPU Small [56/100] 2.14733
CPU Small [57/100] 2.26769
CPU Small [58/100] 2.28315
CPU Small [59/100] 2.22601
CPU Small [60/100] 2.23285
CPU Small [61/100] 2.28044
CPU Small [62/100] 2.20797
CPU Small [63/100] 2.28147
