TL = 80000
graph = alexnet
version = 3.1
Images = 100
Inferences = 10
***
Running Scheduler
TL = 80000
graph = alexnet
version = 3.1
Images = 100
Inferences = 10
***
Running Scheduler
Logging temp logs to temp_schedulerv3_1/alexnet_TL80000_dt1000_motivation.csv
Main thread running
tdiff = 5.00062, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 86120, min_delta_t = 216, val = 3
tdiff = 10.0002, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 79424, min_delta_t = 216, val = 8
tdiff = 15.0011, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 84608, min_delta_t = 216, val = 11
tdiff = 20.0003, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 79856, min_delta_t = 216, val = 15
tdiff = 25.0009, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 85040, min_delta_t = 216, val = 19
tdiff = 30.0008, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 75320, min_delta_t = 216, val = 23
tdiff = 35.0007, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 79640, min_delta_t = 216, val = 27
tdiff = 40.0008, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83744, min_delta_t = 216, val = 30
tdiff = 45.001, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 76184, min_delta_t = 216, val = 35
tdiff = 50.0008, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 79856, min_delta_t = 216, val = 38
tdiff = 55.0011, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83744, min_delta_t = 216, val = 42
tdiff = 60.0006, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 77048, min_delta_t = 216, val = 46
tdiff = 65.0008, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 81800, min_delta_t = 216, val = 50
tdiff = 70.0005, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 82664, min_delta_t = 216, val = 53
tdiff = 75.0004, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 77264, min_delta_t = 216, val = 58
tdiff = 80.0005, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 80936, min_delta_t = 216, val = 61
tdiff = 85.0004, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 82880, min_delta_t = 216, val = 65
tdiff = 90.0003, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 78776, min_delta_t = 216, val = 70
tdiff = 95.0009, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 79640, min_delta_t = 216, val = 73
tdiff = 100, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 82232, min_delta_t = 216, val = 77
tdiff = 105, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 77912, min_delta_t = 216, val = 81
tdiff = 110.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 79424, min_delta_t = 216, val = 85
tdiff = 115, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 85472, min_delta_t = 216, val = 88
tdiff = 120.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83096, min_delta_t = 216, val = 92
tdiff = 125.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 81584, min_delta_t = 216, val = 96
1.2876 per image
0.12876 per inference
