TL = 85000
graph = alexnet
version = 3.1
Images = 100
Inferences = 10
***
Running Scheduler
TL = 85000
graph = alexnet
version = 3.1
Images = 100
Inferences = 10
***
Running Scheduler
Logging temp logs to temp_schedulerv3_1/alexnet_TL85000_dt1000.csv
Main thread running
tdiff = 5.00021, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 78992, min_delta_t = 216, val = 4
tdiff = 10.0001, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 81368, min_delta_t = 216, val = 9
tdiff = 15.0011, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 85688, min_delta_t = 216, val = 12
tdiff = 20.0009, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 79208, min_delta_t = 216, val = 18
tdiff = 25.0004, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 85040, min_delta_t = 216, val = 21
tdiff = 30.0005, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 78992, min_delta_t = 216, val = 27
tdiff = 35.0012, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 84824, min_delta_t = 216, val = 30
tdiff = 40.0007, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 78344, min_delta_t = 216, val = 35
tdiff = 45.0009, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 83096, min_delta_t = 216, val = 38
tdiff = 50.0002, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 81152, min_delta_t = 216, val = 43
tdiff = 55.0006, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 83960, min_delta_t = 216, val = 46
tdiff = 60.0007, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 78128, min_delta_t = 216, val = 51
tdiff = 65.0008, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 83528, min_delta_t = 216, val = 54
tdiff = 70.0003, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 80936, min_delta_t = 216, val = 58
tdiff = 75.0003, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 82016, min_delta_t = 216, val = 62
tdiff = 80.0005, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 80720, min_delta_t = 216, val = 66
tdiff = 85.0009, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 82664, min_delta_t = 216, val = 70
tdiff = 90.0001, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 80936, min_delta_t = 216, val = 74
tdiff = 95.001, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 82016, min_delta_t = 216, val = 77
tdiff = 100, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 78128, min_delta_t = 216, val = 82
tdiff = 105.001, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 82664, min_delta_t = 216, val = 85
tdiff = 110.001, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 82232, min_delta_t = 216, val = 90
tdiff = 115.001, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 82664, min_delta_t = 216, val = 93
tdiff = 120.001, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 0, temp = 78992, min_delta_t = 216, val = 98
1.22376 per image
0.122376 per inference
