TL = 80000
graph = googlenet
version = 
***
Profiling Time
[1/3] Processing CPU Small
CPU Small [1/100] 0.822826
CPU Small [2/100] 1.05993
CPU Small [3/100] 1.00435
CPU Small [4/100] 0.746203
CPU Small [5/100] 0.968056
CPU Small [6/100] 0.974798
CPU Small [7/100] 0.95848
CPU Small [8/100] 1.24501
CPU Small [9/100] 0.861138
CPU Small [10/100] 0.95531
CPU Small [11/100] 0.538015
CPU Small [12/100] 0.568929
CPU Small [13/100] 0.587936
CPU Small [14/100] 1.05763
CPU Small [15/100] 0.723411
CPU Small [16/100] 0.854588
CPU Small [17/100] 0.742046
CPU Small [18/100] 0.968643
CPU Small [19/100] 0.431947
CPU Small [20/100] 1.09928
CPU Small [21/100] 0.764248
CPU Small [22/100] 0.831616
CPU Small [23/100] 1.02819
CPU Small [24/100] 0.808954
CPU Small [25/100] 0.568864
CPU Small [26/100] 1.00483
CPU Small [27/100] 0.741546
CPU Small [28/100] 0.972719
CPU Small [29/100] 0.877807
CPU Small [30/100] 0.797381
CPU Small [31/100] 1.04974
CPU Small [32/100] 0.880527
CPU Small [33/100] 0.76428
CPU Small [34/100] 0.919568
CPU Small [35/100] 0.968403
CPU Small [36/100] 0.926547
CPU Small [37/100] 1.05371
CPU Small [38/100] 0.769691
CPU Small [39/100] 0.856212
CPU Small [40/100] 0.513468
CPU Small [41/100] 0.923706
CPU Small [42/100] 0.975652
CPU Small [43/100] 0.562208
CPU Small [44/100] 1.03122
CPU Small [45/100] 0.773131
CPU Small [46/100] 0.957747
CPU Small [47/100] 0.980187
CPU Small [48/100] 0.56391
CPU Small [49/100] 1.38585
CPU Small [50/100] 0.876344
CPU Small [51/100] 0.491325
CPU Small [52/100] 1.06207
CPU Small [53/100] 0.893377
CPU Small [54/100] 0.948124
CPU Small [55/100] 0.750263
CPU Small [56/100] 1.17162
CPU Small [57/100] 0.916573
CPU Small [58/100] 0.793358
CPU Small [59/100] 0.760454
CPU Small [60/100] 0.774909
CPU Small [61/100] 0.760335
