TL = 80000
graph = googlenet
version = 3.1
Images = 100
Inferences = 10
***
Running Scheduler
TL = 80000
graph = googlenet
version = 3.1
Images = 100
Inferences = 10
***
Running Scheduler
Logging temp logs to temp_schedulerv3_1/googlenet_TL80000_dt1000_motivation.csv
Main thread running
tdiff = 5.00007, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 82016, min_delta_t = 504, val = 2
tdiff = 10.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 78776, min_delta_t = 504, val = 6
tdiff = 15.0002, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 77480, min_delta_t = 504, val = 14
tdiff = 20.0009, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 76616, min_delta_t = 504, val = 21
tdiff = 25.0003, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 73376, min_delta_t = 504, val = 28
tdiff = 30.0008, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68192, min_delta_t = 504, val = 31
tdiff = 35.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 77696, min_delta_t = 504, val = 37
tdiff = 40.0004, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69704, min_delta_t = 504, val = 43
tdiff = 45.0007, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 75752, min_delta_t = 504, val = 47
tdiff = 50.0001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 76832, min_delta_t = 504, val = 54
tdiff = 55.0002, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 77048, min_delta_t = 504, val = 61
tdiff = 60.0004, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 71432, min_delta_t = 504, val = 67
tdiff = 65.0009, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69272, min_delta_t = 504, val = 71
tdiff = 70.0008, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 77480, min_delta_t = 504, val = 75
tdiff = 75.0009, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 76400, min_delta_t = 504, val = 82
tdiff = 80.0009, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 77048, min_delta_t = 504, val = 89
tdiff = 85.0002, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69920, min_delta_t = 504, val = 94
tdiff = 90.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 76400, min_delta_t = 504, val = 98
0.907464 per image
0.0907464 per inference
