TL = 85000
graph = googlenet
version = 3
Images = 100
Inferences = 10
***
Running Scheduler
TL = 85000
graph = googlenet
version = 3
Images = 100
Inferences = 10
***
Running Scheduler
Logging temp logs to temp_schedulerv3/googlenet_TL85000_dt1000.csv
Main thread running
tdiff = 5.00093, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 82880, min_delta_t = 1145.34, val = 2
tdiff = 10.0009, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 83744, min_delta_t = 1145.34, val = 5
tdiff = 15.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 84392, min_delta_t = 1145.34, val = 9
tdiff = 20.0003, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 76616, min_delta_t = 1145.34, val = 14
tdiff = 25.0002, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 75968, min_delta_t = 1145.34, val = 18
tdiff = 30.0008, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 82016, min_delta_t = 1145.34, val = 22
tdiff = 35.0014, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 83528, min_delta_t = 1145.34, val = 26
tdiff = 40.0002, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 84176, min_delta_t = 1145.34, val = 30
tdiff = 45.0003, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 76400, min_delta_t = 1145.34, val = 35
tdiff = 50.0007, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 84176, min_delta_t = 1145.34, val = 40
tdiff = 55.0011, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 82664, min_delta_t = 1145.34, val = 44
tdiff = 60.0014, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 76184, min_delta_t = 1145.34, val = 49
tdiff = 65.0012, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83960, min_delta_t = 1145.34, val = 53
tdiff = 70.0007, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 82880, min_delta_t = 1145.34, val = 57
tdiff = 75.0003, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 79208, min_delta_t = 1145.34, val = 62
tdiff = 80.0011, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 76616, min_delta_t = 1145.34, val = 66
tdiff = 85.0013, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 83096, min_delta_t = 1145.34, val = 70
tdiff = 90.0011, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 83312, min_delta_t = 1145.34, val = 74
tdiff = 95.0006, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 82880, min_delta_t = 1145.34, val = 78
tdiff = 100, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 77264, min_delta_t = 1145.34, val = 83
tdiff = 105.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 75968, min_delta_t = 1145.34, val = 87
tdiff = 110, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 83528, min_delta_t = 1145.34, val = 91
tdiff = 115, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 83312, min_delta_t = 1145.34, val = 95
1.19929 per image
0.119929 per inference
