TL = 80000
graph = mobilenet
version = 
Images = 100
Inferences = 10
***
Profiling Time
[1/3] Processing CPU Small
CPU Small [1/100] 1.50805
CPU Small [2/100] 1.39669
CPU Small [3/100] 1.79282
CPU Small [4/100] 1.5734
CPU Small [5/100] 0.833874
CPU Small [6/100] 1.27516
CPU Small [7/100] 1.33162
CPU Small [8/100] 1.92067
CPU Small [9/100] 2.03738
CPU Small [10/100] 0.939183
CPU Small [11/100] 0.824862
CPU Small [12/100] 1.43598
CPU Small [13/100] 1.53665
CPU Small [14/100] 1.85389
CPU Small [15/100] 1.3316
CPU Small [16/100] 1.4984
CPU Small [17/100] 1.37743
CPU Small [18/100] 1.2712
CPU Small [19/100] 0.862552
CPU Small [20/100] 1.27082
CPU Small [21/100] 1.19489
CPU Small [22/100] 1.49153
CPU Small [23/100] 1.40151
CPU Small [24/100] 1.17891
CPU Small [25/100] 0.804378
CPU Small [26/100] 1.77937
CPU Small [27/100] 1.35345
CPU Small [28/100] 1.98034
CPU Small [29/100] 1.51967
CPU Small [30/100] 1.31564
CPU Small [31/100] 1.92527
CPU Small [32/100] 1.5155
CPU Small [33/100] 1.72242
CPU Small [34/100] 1.86755
CPU Small [35/100] 1.20678
CPU Small [36/100] 1.31522
CPU Small [37/100] 0.833737
CPU Small [38/100] 1.86085
CPU Small [39/100] 1.64478
CPU Small [40/100] 0.817181
CPU Small [41/100] 1.25409
CPU Small [42/100] 1.52087
CPU Small [43/100] 0.844637
CPU Small [44/100] 1.63908
CPU Small [45/100] 1.87618
CPU Small [46/100] 0.874883
CPU Small [47/100] 1.35392
CPU Small [48/100] 1.63361
CPU Small [49/100] 1.51574
CPU Small [50/100] 1.60015
CPU Small [51/100] 1.49898
CPU Small [52/100] 1.48298
CPU Small [53/100] 1.48644
CPU Small [54/100] 1.28674
CPU Small [55/100] 1.61699
CPU Small [56/100] 1.44204
CPU Small [57/100] 1.72647
CPU Small [58/100] 2.18287
CPU Small [59/100] 1.4212
CPU Small [60/100] 1.78529
CPU Small [61/100] 1.64942
CPU Small [62/100] 0.820065
CPU Small [63/100] 1.77954
CPU Small [64/100] 1.8093
CPU Small [65/100] 1.51597
CPU Small [66/100] 1.86519
CPU Small [67/100] 0.823925
CPU Small [68/100] 1.41587
CPU Small [69/100] 1.73626
CPU Small [70/100] 1.54572
CPU Small [71/100] 1.80906
CPU Small [72/100] 1.18872
CPU Small [73/100] 2.05109
CPU Small [74/100] 1.01219
CPU Small [75/100] 1.71161
CPU Small [76/100] 1.23747
CPU Small [77/100] 0.935263
CPU Small [78/100] 1.43787
CPU Small [79/100] 1.73047
CPU Small [80/100] 1.16016
CPU Small [81/100] 1.26396
CPU Small [82/100] 1.79513
CPU Small [83/100] 1.25569
CPU Small [84/100] 1.64432
CPU Small [85/100] 1.13556
CPU Small [86/100] 1.94312
CPU Small [87/100] 1.27037
CPU Small [88/100] 0.9909
CPU Small [89/100] 1.42358
CPU Small [90/100] 1.69351
CPU Small [91/100] 1.51807
CPU Small [92/100] 1.30815
CPU Small [93/100] 1.32828
CPU Small [94/100] 1.80211
CPU Small [95/100] 1.38821
CPU Small [96/100] 1.63186
CPU Small [97/100] 0.991769
CPU Small [98/100] 1.43629
CPU Small [99/100] 1.9446
CPU Small [100/100] 1.43786
CPU Small Average 1.45083
[2/3] Processing CPU Big
CPU Big [1/100] 1.30937
CPU Big [2/100] 0.942573
CPU Big [3/100] 1.66388
CPU Big [4/100] 1.80979
CPU Big [5/100] 1.97343
CPU Big [6/100] 1.50808
CPU Big [7/100] 1.38472
CPU Big [8/100] 1.25144
CPU Big [9/100] 1.31367
CPU Big [10/100] 1.47464
CPU Big [11/100] 0.882599
CPU Big [12/100] 1.40831
CPU Big [13/100] 1.43753
CPU Big [14/100] 1.22747
CPU Big [15/100] 1.54587
CPU Big [16/100] 1.63323
CPU Big [17/100] 0.977497
CPU Big [18/100] 2.04568
CPU Big [19/100] 1.11285
CPU Big [20/100] 0.797992
CPU Big [21/100] 1.65562
CPU Big [22/100] 1.94391
CPU Big [23/100] 1.21869
CPU Big [24/100] 1.401
CPU Big [25/100] 1.82042
CPU Big [26/100] 1.19992
CPU Big [27/100] 1.8525
CPU Big [28/100] 1.48388
CPU Big [29/100] 1.14736
CPU Big [30/100] 0.91033
CPU Big [31/100] 1.4418
CPU Big [32/100] 0.888106
CPU Big [33/100] 1.5382
CPU Big [34/100] 1.04009
CPU Big [35/100] 1.15672
CPU Big [36/100] 0.856284
CPU Big [37/100] 0.931044
CPU Big [38/100] 1.60594
CPU Big [39/100] 1.98419
CPU Big [40/100] 1.46694
CPU Big [41/100] 1.99264
CPU Big [42/100] 1.46596
CPU Big [43/100] 1.56148
CPU Big [44/100] 1.88453
CPU Big [45/100] 1.20627
CPU Big [46/100] 1.58584
CPU Big [47/100] 0.929289
CPU Big [48/100] 1.37288
CPU Big [49/100] 1.81698
CPU Big [50/100] 1.22377
CPU Big [51/100] 1.42284
CPU Big [52/100] 0.818747
CPU Big [53/100] 2.34595
CPU Big [54/100] 1.56105
