TL = 80000
graph = resnet50
version = 
Images = 100
Inferences = 10
***
Profiling Time
[1/3] Processing CPU Small
CPU Small [1/100] 4.56606
CPU Small [2/100] 4.83408
CPU Small [3/100] 4.91982
CPU Small [4/100] 4.27013
CPU Small [5/100] 5.02658
CPU Small [6/100] 4.46959
CPU Small [7/100] 4.98539
CPU Small [8/100] 4.98049
CPU Small [9/100] 4.57298
CPU Small [10/100] 6.6856
CPU Small [11/100] 4.18031
CPU Small [12/100] 5.11013
CPU Small [13/100] 4.50693
CPU Small [14/100] 5.06316
CPU Small [15/100] 4.69267
CPU Small [16/100] 5.27336
CPU Small [17/100] 4.52811
CPU Small [18/100] 5.43412
CPU Small [19/100] 4.99605
CPU Small [20/100] 4.94992
CPU Small [21/100] 4.47023
CPU Small [22/100] 5.29303
CPU Small [23/100] 5.12426
CPU Small [24/100] 5.44874
CPU Small [25/100] 5.02301
CPU Small [26/100] 5.26631
CPU Small [27/100] 4.87108
CPU Small [28/100] 4.74852
CPU Small [29/100] 4.80265
CPU Small [30/100] 5.35275
CPU Small [31/100] 4.82791
CPU Small [32/100] 5.59706
CPU Small [33/100] 4.94291
CPU Small [34/100] 5.34735
CPU Small [35/100] 4.81252
CPU Small [36/100] 5.63937
CPU Small [37/100] 4.79474
CPU Small [38/100] 4.74118
CPU Small [39/100] 5.57864
CPU Small [40/100] 5.43654
CPU Small [41/100] 5.04745
CPU Small [42/100] 5.77059
CPU Small [43/100] 5.19426
CPU Small [44/100] 5.47406
CPU Small [45/100] 5.40144
CPU Small [46/100] 5.8878
CPU Small [47/100] 6.16604
CPU Small [48/100] 5.47848
CPU Small [49/100] 5.01837
CPU Small [50/100] 4.89477
CPU Small [51/100] 4.85811
CPU Small [52/100] 5.44189
CPU Small [53/100] 5.03668
CPU Small [54/100] 5.01177
CPU Small [55/100] 4.88671
CPU Small [56/100] 5.67919
CPU Small [57/100] 5.15068
CPU Small [58/100] 5.89651
CPU Small [59/100] 4.87183
CPU Small [60/100] 5.61071
CPU Small [61/100] 5.04899
CPU Small [62/100] 5.78603
CPU Small [63/100] 5.34306
CPU Small [64/100] 5.71334
CPU Small [65/100] 5.16772
CPU Small [66/100] 5.51892
CPU Small [67/100] 5.44386
CPU Small [68/100] 5.74679
CPU Small [69/100] 4.98773
CPU Small [70/100] 6.45942
CPU Small [71/100] 5.13509
CPU Small [72/100] 5.94871
CPU Small [73/100] 4.98577
CPU Small [74/100] 6.1438
CPU Small [75/100] 5.3807
CPU Small [76/100] 5.66437
CPU Small [77/100] 4.91112
CPU Small [78/100] 5.7532
CPU Small [79/100] 5.19674
CPU Small [80/100] 5.25565
CPU Small [81/100] 5.49047
CPU Small [82/100] 5.8433
CPU Small [83/100] 5.10379
CPU Small [84/100] 5.74993
CPU Small [85/100] 5.04826
CPU Small [86/100] 5.4561
CPU Small [87/100] 5.16239
CPU Small [88/100] 5.66836
CPU Small [89/100] 5.10128
CPU Small [90/100] 5.44396
CPU Small [91/100] 5.22047
CPU Small [92/100] 4.9618
CPU Small [93/100] 5.03873
CPU Small [94/100] 5.66108
CPU Small [95/100] 5.0737
CPU Small [96/100] 5.84023
CPU Small [97/100] 5.09438
CPU Small [98/100] 5.67085
CPU Small [99/100] 5.30401
CPU Small [100/100] 5.62092
CPU Small Average 5.24087
[2/3] Processing CPU Big
CPU Big [1/100] 5.51162
CPU Big [2/100] 5.76016
CPU Big [3/100] 5.16383
CPU Big [4/100] 5.60071
CPU Big [5/100] 5.08908
CPU Big [6/100] 5.83918
CPU Big [7/100] 5.08934
CPU Big [8/100] 5.6246
CPU Big [9/100] 5.20267
CPU Big [10/100] 4.89355
CPU Big [11/100] 5.86592
CPU Big [12/100] 5.18578
CPU Big [13/100] 5.47688
CPU Big [14/100] 5.71099
CPU Big [15/100] 5.093
CPU Big [16/100] 5.74948
CPU Big [17/100] 5.50734
CPU Big [18/100] 5.88643
CPU Big [19/100] 5.21543
CPU Big [20/100] 5.70754
CPU Big [21/100] 5.19837
CPU Big [22/100] 5.07944
CPU Big [23/100] 5.75954
CPU Big [24/100] 5.46444
CPU Big [25/100] 5.74081
CPU Big [26/100] 5.17284
CPU Big [27/100] 5.41667
CPU Big [28/100] 6.14182
CPU Big [29/100] 5.77756
CPU Big [30/100] 5.87707
CPU Big [31/100] 5.38134
CPU Big [32/100] 5.91051
CPU Big [33/100] 5.06967
CPU Big [34/100] 5.84097
CPU Big [35/100] 5.28235
CPU Big [36/100] 6.12269
CPU Big [37/100] 5.45048
CPU Big [38/100] 5.78073
CPU Big [39/100] 5.27306
CPU Big [40/100] 5.82856
CPU Big [41/100] 4.90406
CPU Big [42/100] 5.80819
CPU Big [43/100] 5.29131
