TL = 80000
graph = resnet50
version = 4
***
Running Scheduler
Images = 100
Inferences = 1
TL = 80000
graph = resnet50
version = 4
***
Running Scheduler
Images = 100
Inferences = 1
Logging temp logs to temp_schedulerv4/resnet50_TL80000_dt10000.csv
Main thread running
tdiff = 5.00294, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 80072, min_delta_t = 256.844, val = 2
tdiff = 10.0095, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 73160, min_delta_t = 256.844, val = 5
tdiff = 15.0021, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 76616, min_delta_t = 256.844, val = 10
tdiff = 20.0083, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77480, min_delta_t = 256.844, val = 15
tdiff = 25.0096, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78776, min_delta_t = 256.844, val = 19
tdiff = 30.0032, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 75968, min_delta_t = 256.844, val = 24
tdiff = 35.0041, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77048, min_delta_t = 256.844, val = 29
tdiff = 40.0081, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83312, min_delta_t = 256.844, val = 34
tdiff = 45.0066, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 79856, min_delta_t = 256.844, val = 38
tdiff = 50.0098, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77048, min_delta_t = 256.844, val = 43
tdiff = 55.0004, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 79856, min_delta_t = 256.844, val = 48
tdiff = 60.0053, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 80504, min_delta_t = 256.844, val = 52
tdiff = 65.0095, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83312, min_delta_t = 256.844, val = 58
tdiff = 70.0073, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77912, min_delta_t = 256.844, val = 62
tdiff = 75.0037, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 75536, min_delta_t = 256.844, val = 65
tdiff = 80.005, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 75968, min_delta_t = 256.844, val = 70
tdiff = 85.0072, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 76832, min_delta_t = 256.844, val = 75
tdiff = 90.0026, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 79424, min_delta_t = 256.844, val = 80
tdiff = 95.0003, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 79640, min_delta_t = 256.844, val = 85
tdiff = 100.004, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 75536, min_delta_t = 256.844, val = 90
tdiff = 105.004, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 76616, min_delta_t = 256.844, val = 94
tdiff = 110.011, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 76616, min_delta_t = 256.844, val = 99
1.10854 per image
1.10854 per inference
