TL = 80000
graph = resnet50
version = 3.1
Images = 100
Inferences = 10
***
Running Scheduler
TL = 80000
graph = resnet50
version = 3.1
Images = 100
Inferences = 10
***
Running Scheduler
Logging temp logs to temp_schedulerv3_1/resnet50_TL80000_dt1000_motivation.csv
Main thread running
tdiff = 5.0006, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 82232, min_delta_t = 1555.2, val = 0
tdiff = 10.0008, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73376, min_delta_t = 1555.2, val = 2
tdiff = 15.0006, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 76184, min_delta_t = 1555.2, val = 4
tdiff = 20.0002, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 71648, min_delta_t = 1555.2, val = 5
tdiff = 25.0003, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72728, min_delta_t = 1555.2, val = 7
tdiff = 30.0004, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73808, min_delta_t = 1555.2, val = 9
tdiff = 35.0006, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73160, min_delta_t = 1555.2, val = 10
tdiff = 40.0011, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72080, min_delta_t = 1555.2, val = 11
tdiff = 45.0002, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72080, min_delta_t = 1555.2, val = 12
tdiff = 50.0003, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72512, min_delta_t = 1555.2, val = 14
tdiff = 55.0009, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72728, min_delta_t = 1555.2, val = 16
tdiff = 60.0011, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73592, min_delta_t = 1555.2, val = 18
tdiff = 65.0004, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 74888, min_delta_t = 1555.2, val = 20
tdiff = 70.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70568, min_delta_t = 1555.2, val = 21
tdiff = 75.0002, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68192, min_delta_t = 1555.2, val = 22
tdiff = 80.0005, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68408, min_delta_t = 1555.2, val = 24
tdiff = 85.0012, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70352, min_delta_t = 1555.2, val = 25
tdiff = 90.0011, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72728, min_delta_t = 1555.2, val = 27
tdiff = 95.0003, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 74024, min_delta_t = 1555.2, val = 29
tdiff = 100, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73592, min_delta_t = 1555.2, val = 31
tdiff = 105.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73592, min_delta_t = 1555.2, val = 33
tdiff = 110.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73592, min_delta_t = 1555.2, val = 35
tdiff = 115.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 76400, min_delta_t = 1555.2, val = 37
tdiff = 120.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 75752, min_delta_t = 1555.2, val = 38
tdiff = 125.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 71000, min_delta_t = 1555.2, val = 40
tdiff = 130, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68624, min_delta_t = 1555.2, val = 42
tdiff = 135.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69920, min_delta_t = 1555.2, val = 43
tdiff = 140.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66680, min_delta_t = 1555.2, val = 45
tdiff = 145.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 71432, min_delta_t = 1555.2, val = 46
tdiff = 150, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 74024, min_delta_t = 1555.2, val = 48
tdiff = 155, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72512, min_delta_t = 1555.2, val = 50
tdiff = 160.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 71648, min_delta_t = 1555.2, val = 52
tdiff = 165.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69056, min_delta_t = 1555.2, val = 53
tdiff = 170, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 71648, min_delta_t = 1555.2, val = 54
tdiff = 175, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73808, min_delta_t = 1555.2, val = 57
tdiff = 180, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 74240, min_delta_t = 1555.2, val = 59
tdiff = 185.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 75536, min_delta_t = 1555.2, val = 59
tdiff = 190.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 71216, min_delta_t = 1555.2, val = 61
tdiff = 195.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66032, min_delta_t = 1555.2, val = 62
tdiff = 200.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 74888, min_delta_t = 1555.2, val = 63
tdiff = 205.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72512, min_delta_t = 1555.2, val = 66
tdiff = 210.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72080, min_delta_t = 1555.2, val = 68
tdiff = 215.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72728, min_delta_t = 1555.2, val = 69
tdiff = 220, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66464, min_delta_t = 1555.2, val = 70
tdiff = 225, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70784, min_delta_t = 1555.2, val = 72
tdiff = 230.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69272, min_delta_t = 1555.2, val = 73
tdiff = 235, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67328, min_delta_t = 1555.2, val = 75
tdiff = 240.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 71648, min_delta_t = 1555.2, val = 76
tdiff = 245.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 73376, min_delta_t = 1555.2, val = 78
tdiff = 250.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 74888, min_delta_t = 1555.2, val = 81
tdiff = 255.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69056, min_delta_t = 1555.2, val = 83
tdiff = 260.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72080, min_delta_t = 1555.2, val = 85
tdiff = 265, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 71648, min_delta_t = 1555.2, val = 87
tdiff = 270, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 72728, min_delta_t = 1555.2, val = 88
tdiff = 275, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70136, min_delta_t = 1555.2, val = 90
tdiff = 280, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 76616, min_delta_t = 1555.2, val = 92
tdiff = 285.004, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70136, min_delta_t = 1555.2, val = 94
tdiff = 290, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68408, min_delta_t = 1555.2, val = 95
tdiff = 295, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 74024, min_delta_t = 1555.2, val = 96
tdiff = 300.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67976, min_delta_t = 1555.2, val = 98
tdiff = 305.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70136, min_delta_t = 1555.2, val = 98
3.07842 per image
0.307842 per inference
