TL = 80000
graph = resnet50
version = 3.1
Images = 600
Inferences = 10
***
Running Scheduler
TL = 80000
graph = resnet50
version = 3.1
Images = 600
Inferences = 10
***
Running Scheduler
Logging temp logs to temp_schedulerv3_1/resnet50_TL80000_dt1000_motivation.csv
Main thread running
tdiff = 5.00041, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 77048, min_delta_t = 1555.2, val = 0
tdiff = 10.0009, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 59120, min_delta_t = 1555.2, val = 3
tdiff = 15.0008, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 59336, min_delta_t = 1555.2, val = 6
tdiff = 20.0011, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 59768, min_delta_t = 1555.2, val = 9
tdiff = 25.0004, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 61280, min_delta_t = 1555.2, val = 12
tdiff = 30.0011, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 62576, min_delta_t = 1555.2, val = 15
tdiff = 35.0001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 63440, min_delta_t = 1555.2, val = 18
tdiff = 40.0009, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 65600, min_delta_t = 1555.2, val = 21
tdiff = 45.0008, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 64952, min_delta_t = 1555.2, val = 24
tdiff = 50.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 64304, min_delta_t = 1555.2, val = 27
tdiff = 55.0001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67328, min_delta_t = 1555.2, val = 29
tdiff = 60.0008, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67112, min_delta_t = 1555.2, val = 33
tdiff = 65.0008, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 63872, min_delta_t = 1555.2, val = 35
tdiff = 70.0009, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 63224, min_delta_t = 1555.2, val = 36
tdiff = 75.0002, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 64952, min_delta_t = 1555.2, val = 39
tdiff = 80.0002, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66680, min_delta_t = 1555.2, val = 42
tdiff = 85.0007, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67976, min_delta_t = 1555.2, val = 45
tdiff = 90.0009, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69488, min_delta_t = 1555.2, val = 48
tdiff = 95.0007, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66680, min_delta_t = 1555.2, val = 51
tdiff = 100.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69704, min_delta_t = 1555.2, val = 54
tdiff = 105.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68192, min_delta_t = 1555.2, val = 57
tdiff = 110, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 64736, min_delta_t = 1555.2, val = 58
tdiff = 115.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67328, min_delta_t = 1555.2, val = 60
tdiff = 120, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68408, min_delta_t = 1555.2, val = 63
tdiff = 125.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68624, min_delta_t = 1555.2, val = 66
tdiff = 130, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69272, min_delta_t = 1555.2, val = 69
tdiff = 135.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69488, min_delta_t = 1555.2, val = 72
tdiff = 140.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 71432, min_delta_t = 1555.2, val = 75
tdiff = 145.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69272, min_delta_t = 1555.2, val = 78
tdiff = 150.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66896, min_delta_t = 1555.2, val = 81
tdiff = 155.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66464, min_delta_t = 1555.2, val = 82
tdiff = 160.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 65168, min_delta_t = 1555.2, val = 83
tdiff = 165.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69920, min_delta_t = 1555.2, val = 86
tdiff = 170, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 71432, min_delta_t = 1555.2, val = 90
tdiff = 175.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70568, min_delta_t = 1555.2, val = 93
tdiff = 180.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 65816, min_delta_t = 1555.2, val = 94
tdiff = 185.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66248, min_delta_t = 1555.2, val = 96
tdiff = 190.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 65384, min_delta_t = 1555.2, val = 99
tdiff = 195.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 64952, min_delta_t = 1555.2, val = 99
tdiff = 200.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68192, min_delta_t = 1555.2, val = 102
tdiff = 205.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69920, min_delta_t = 1555.2, val = 105
tdiff = 210, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70352, min_delta_t = 1555.2, val = 108
tdiff = 215.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67112, min_delta_t = 1555.2, val = 111
tdiff = 220, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 1, temp = 65384, min_delta_t = 1555.2, val = 112
tdiff = 225, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66248, min_delta_t = 1555.2, val = 115
tdiff = 230.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69704, min_delta_t = 1555.2, val = 117
tdiff = 235, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69704, min_delta_t = 1555.2, val = 120
tdiff = 240.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70568, min_delta_t = 1555.2, val = 123
tdiff = 245, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66248, min_delta_t = 1555.2, val = 126
tdiff = 250.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 71864, min_delta_t = 1555.2, val = 127
tdiff = 255, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70784, min_delta_t = 1555.2, val = 130
tdiff = 260.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68192, min_delta_t = 1555.2, val = 133
tdiff = 265.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67112, min_delta_t = 1555.2, val = 134
tdiff = 270.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 70352, min_delta_t = 1555.2, val = 137
tdiff = 275.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69704, min_delta_t = 1555.2, val = 140
tdiff = 280.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68192, min_delta_t = 1555.2, val = 143
tdiff = 285.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 71432, min_delta_t = 1555.2, val = 145
tdiff = 290.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66464, min_delta_t = 1555.2, val = 147
tdiff = 295.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66032, min_delta_t = 1555.2, val = 148
tdiff = 300, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66032, min_delta_t = 1555.2, val = 151
tdiff = 305, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66896, min_delta_t = 1555.2, val = 151
tdiff = 310, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 69704, min_delta_t = 1555.2, val = 153
tdiff = 315.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66032, min_delta_t = 1555.2, val = 156
tdiff = 320, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66032, min_delta_t = 1555.2, val = 157
tdiff = 325, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67760, min_delta_t = 1555.2, val = 160
tdiff = 330.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 68192, min_delta_t = 1555.2, val = 163
tdiff = 335.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 67328, min_delta_t = 1555.2, val = 166
tdiff = 340.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 66032, min_delta_t = 1555.2, val = 167
