TL = 80000
graph = resnet50
version = 4
Images = 100
Inferences = 10
***
Running Scheduler
TL = 80000
graph = resnet50
version = 4
Images = 100
Inferences = 10
***
Running Scheduler
Logging temp logs to temp_schedulerv4/resnet50_TL80000_dt1000_motivation.csv
Main thread running
tdiff = 5.00015, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 84824, min_delta_t = 7404.39, val = 0
tdiff = 10.0008, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 75536, min_delta_t = 7404.39, val = 2
tdiff = 15, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 72728, min_delta_t = 7404.39, val = 5
tdiff = 20.0005, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 74240, min_delta_t = 7404.39, val = 6
tdiff = 25.0011, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83528, min_delta_t = 7404.39, val = 8
tdiff = 30.0004, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 77480, min_delta_t = 7404.39, val = 10
tdiff = 35.0011, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 74888, min_delta_t = 7404.39, val = 13
tdiff = 40.0011, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 87200, min_delta_t = 7404.39, val = 14
tdiff = 45.0016, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 75536, min_delta_t = 7404.39, val = 17
tdiff = 50.0006, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 77264, min_delta_t = 7404.39, val = 18
tdiff = 55.0004, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 75104, min_delta_t = 7404.39, val = 20
tdiff = 60.0009, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 74024, min_delta_t = 7404.39, val = 22
tdiff = 65.0009, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 73376, min_delta_t = 7404.39, val = 24
tdiff = 70.0001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 72728, min_delta_t = 7404.39, val = 26
tdiff = 75.0008, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 73376, min_delta_t = 7404.39, val = 27
tdiff = 80.0003, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83744, min_delta_t = 7404.39, val = 29
tdiff = 85.0005, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 74888, min_delta_t = 7404.39, val = 31
tdiff = 90, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 72728, min_delta_t = 7404.39, val = 34
tdiff = 95.0002, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83744, min_delta_t = 7404.39, val = 35
tdiff = 100, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 78776, min_delta_t = 7404.39, val = 37
tdiff = 105.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 76832, min_delta_t = 7404.39, val = 40
tdiff = 110.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83528, min_delta_t = 7404.39, val = 41
tdiff = 115.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 76832, min_delta_t = 7404.39, val = 44
tdiff = 120.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 77264, min_delta_t = 7404.39, val = 46
tdiff = 125, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 76184, min_delta_t = 7404.39, val = 47
tdiff = 130.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 76400, min_delta_t = 7404.39, val = 49
tdiff = 135, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 84392, min_delta_t = 7404.39, val = 51
tdiff = 140.001, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 75536, min_delta_t = 7404.39, val = 53
