TL = 85000
graph = resnet50
version = 3.1
Images = 100
Inferences = 10
***
Running Scheduler
TL = 85000
graph = resnet50
version = 3.1
Images = 100
Inferences = 10
***
Running Scheduler
Logging temp logs to temp_schedulerv3_1/resnet50_TL85000_dt1000.csv
Main thread running
tdiff = 5.00046, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 80504, min_delta_t = 1555.2, val = 0
tdiff = 10.0004, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 78344, min_delta_t = 1555.2, val = 2
tdiff = 15.0001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 79640, min_delta_t = 1555.2, val = 5
tdiff = 20.0007, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 1, temp = 75968, min_delta_t = 1555.2, val = 8
tdiff = 25.0008, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 76832, min_delta_t = 1555.2, val = 11
tdiff = 30.0003, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 79640, min_delta_t = 1555.2, val = 13
tdiff = 35.0009, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 77264, min_delta_t = 1555.2, val = 16
tdiff = 40.0007, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 76616, min_delta_t = 1555.2, val = 19
tdiff = 45.0009, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 79856, min_delta_t = 1555.2, val = 21
tdiff = 50.0008, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 77048, min_delta_t = 1555.2, val = 24
tdiff = 55.001, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 78992, min_delta_t = 1555.2, val = 26
tdiff = 60.0004, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 77264, min_delta_t = 1555.2, val = 28
tdiff = 65.0011, run_cpu_small = 1, run_cpu_big = 0, run_gpu = 0, temp = 76832, min_delta_t = 1555.2, val = 31
