TL = 80000
graph = squeezenet
version = 
***
Profiling Time
[1/3] Processing CPU Small
CPU Small [1/100] 0.673661
CPU Small [2/100] 0.435583
CPU Small [3/100] 0.321993
CPU Small [4/100] 0.454516
CPU Small [5/100] 0.503974
CPU Small [6/100] 0.537004
CPU Small [7/100] 0.516838
CPU Small [8/100] 0.480165
CPU Small [9/100] 0.454731
CPU Small [10/100] 0.524576
CPU Small [11/100] 0.522832
CPU Small [12/100] 0.447194
CPU Small [13/100] 0.478059
CPU Small [14/100] 0.551025
CPU Small [15/100] 0.453302
CPU Small [16/100] 0.571096
CPU Small [17/100] 0.186237
CPU Small [18/100] 0.422039
CPU Small [19/100] 0.314908
CPU Small [20/100] 0.512774
CPU Small [21/100] 0.534389
CPU Small [22/100] 0.409128
CPU Small [23/100] 0.435553
CPU Small [24/100] 0.363255
CPU Small [25/100] 0.404131
CPU Small [26/100] 0.509775
CPU Small [27/100] 0.332178
CPU Small [28/100] 0.482218
CPU Small [29/100] 0.499573
CPU Small [30/100] 0.379304
CPU Small [31/100] 0.516556
CPU Small [32/100] 0.485652
CPU Small [33/100] 0.459071
CPU Small [34/100] 0.466005
CPU Small [35/100] 0.348596
CPU Small [36/100] 0.679227
CPU Small [37/100] 0.440507
CPU Small [38/100] 0.51584
CPU Small [39/100] 0.413217
CPU Small [40/100] 0.463347
CPU Small [41/100] 0.137855
CPU Small [42/100] 0.319606
CPU Small [43/100] 0.488584
CPU Small [44/100] 0.465982
CPU Small [45/100] 0.534333
CPU Small [46/100] 0.328871
CPU Small [47/100] 0.331549
CPU Small [48/100] 0.347389
CPU Small [49/100] 0.570977
CPU Small [50/100] 0.510076
CPU Small [51/100] 0.356343
CPU Small [52/100] 0.522035
CPU Small [53/100] 0.563911
CPU Small [54/100] 0.33922
CPU Small [55/100] 0.481464
CPU Small [56/100] 0.423641
CPU Small [57/100] 0.470254
CPU Small [58/100] 0.373592
CPU Small [59/100] 0.370429
CPU Small [60/100] 0.470689
CPU Small [61/100] 0.356653
CPU Small [62/100] 0.385324
CPU Small [63/100] 0.493092
CPU Small [64/100] 0.498803
CPU Small [65/100] 0.483118
CPU Small [66/100] 0.569267
CPU Small [67/100] 0.354285
CPU Small [68/100] 0.347919
CPU Small [69/100] 0.443339
CPU Small [70/100] 0.419922
CPU Small [71/100] 0.329426
CPU Small [72/100] 0.492221
CPU Small [73/100] 0.432981
CPU Small [74/100] 0.464936
CPU Small [75/100] 0.397383
CPU Small [76/100] 0.350868
CPU Small [77/100] 0.499636
CPU Small [78/100] 0.341617
CPU Small [79/100] 0.349701
CPU Small [80/100] 0.490366
CPU Small [81/100] 0.352464
CPU Small [82/100] 0.384545
CPU Small [83/100] 0.463013
CPU Small [84/100] 0.417444
CPU Small [85/100] 0.321762
CPU Small [86/100] 0.420426
CPU Small [87/100] 0.384535
CPU Small [88/100] 0.344569
CPU Small [89/100] 0.324869
CPU Small [90/100] 0.297095
CPU Small [91/100] 0.353844
CPU Small [92/100] 0.463239
CPU Small [93/100] 0.41328
CPU Small [94/100] 0.566699
CPU Small [95/100] 0.428561
CPU Small [96/100] 0.476183
CPU Small [97/100] 0.488316
CPU Small [98/100] 0.417071
CPU Small [99/100] 0.332088
CPU Small [100/100] 0.362712
CPU Small Average 0.434204
[2/3] Processing CPU Big
CPU Big [1/100] 0.537304
CPU Big [2/100] 0.578049
CPU Big [3/100] 0.360752
CPU Big [4/100] 0.558327
CPU Big [5/100] 0.338387
CPU Big [6/100] 0.344473
CPU Big [7/100] 0.460371
CPU Big [8/100] 0.461261
CPU Big [9/100] 0.474221
CPU Big [10/100] 0.318863
CPU Big [11/100] 0.39426
CPU Big [12/100] 0.506959
CPU Big [13/100] 0.416536
CPU Big [14/100] 0.28702
CPU Big [15/100] 0.520816
CPU Big [16/100] 0.361099
CPU Big [17/100] 0.335603
CPU Big [18/100] 0.516118
CPU Big [19/100] 0.473695
CPU Big [20/100] 0.441453
CPU Big [21/100] 0.352944
CPU Big [22/100] 0.353009
CPU Big [23/100] 0.531779
CPU Big [24/100] 0.367095
CPU Big [25/100] 0.399974
CPU Big [26/100] 0.607122
CPU Big [27/100] 0.48726
CPU Big [28/100] 0.6241
CPU Big [29/100] 0.344723
CPU Big [30/100] 0.468542
CPU Big [31/100] 0.367872
CPU Big [32/100] 0.386638
CPU Big [33/100] 0.509582
CPU Big [34/100] 0.34397
CPU Big [35/100] 0.453507
CPU Big [36/100] 0.579726
CPU Big [37/100] 0.402044
CPU Big [38/100] 0.527048
CPU Big [39/100] 0.342392
CPU Big [40/100] 0.453315
CPU Big [41/100] 0.342869
CPU Big [42/100] 0.368929
CPU Big [43/100] 0.498203
CPU Big [44/100] 0.364378
CPU Big [45/100] 0.324993
CPU Big [46/100] 0.487745
CPU Big [47/100] 0.364662
CPU Big [48/100] 0.290124
CPU Big [49/100] 0.323605
CPU Big [50/100] 0.451102
CPU Big [51/100] 0.353302
CPU Big [52/100] 0.312685
CPU Big [53/100] 0.295152
CPU Big [54/100] 0.515455
CPU Big [55/100] 0.346783
CPU Big [56/100] 0.383475
CPU Big [57/100] 0.471521
CPU Big [58/100] 0.35241
CPU Big [59/100] 0.57837
CPU Big [60/100] 0.384213
CPU Big [61/100] 0.607323
CPU Big [62/100] 0.468672
CPU Big [63/100] 0.434181
CPU Big [64/100] 0.620991
CPU Big [65/100] 0.339496
CPU Big [66/100] 0.388369
CPU Big [67/100] 0.523958
CPU Big [68/100] 0.536059
CPU Big [69/100] 0.388954
CPU Big [70/100] 0.22631
CPU Big [71/100] 0.394844
CPU Big [72/100] 0.440182
CPU Big [73/100] 0.46117
CPU Big [74/100] 0.473179
CPU Big [75/100] 0.558484
CPU Big [76/100] 0.477702
CPU Big [77/100] 0.411602
CPU Big [78/100] 0.469485
CPU Big [79/100] 0.359392
CPU Big [80/100] 0.506841
CPU Big [81/100] 0.453914
CPU Big [82/100] 0.379119
CPU Big [83/100] 0.454853
CPU Big [84/100] 0.417534
CPU Big [85/100] 0.494094
CPU Big [86/100] 0.398484
CPU Big [87/100] 0.503626
CPU Big [88/100] 0.378668
CPU Big [89/100] 0.5864
CPU Big [90/100] 0.570306
CPU Big [91/100] 0.35933
CPU Big [92/100] 0.508998
CPU Big [93/100] 0.399278
CPU Big [94/100] 0.512539
CPU Big [95/100] 0.564455
CPU Big [96/100] 0.347088
CPU Big [97/100] 0.502727
CPU Big [98/100] 0.441851
CPU Big [99/100] 0.554351
CPU Big [100/100] 0.524589
CPU Big Average 0.438376
[3/3] Processing GPU
GPU [1/100] 4.85566
GPU [2/100] 0.462115
GPU [3/100] 0.390003
GPU [4/100] 0.451065
GPU [5/100] 0.476286
GPU [6/100] 0.390638
GPU [7/100] 0.43783
GPU [8/100] 0.50438
GPU [9/100] 0.462573
GPU [10/100] 0.404573
GPU [11/100] 0.448181
GPU [12/100] 0.468301
GPU [13/100] 0.394058
GPU [14/100] 0.439975
GPU [15/100] 0.457587
GPU [16/100] 0.391178
GPU [17/100] 0.445448
GPU [18/100] 0.475234
GPU [19/100] 0.396007
GPU [20/100] 0.45608
GPU [21/100] 0.480987
GPU [22/100] 0.384289
GPU [23/100] 0.36916
GPU [24/100] 0.394289
GPU [25/100] 0.439884
GPU [26/100] 0.46861
GPU [27/100] 0.39821
GPU [28/100] 0.439554
GPU [29/100] 0.456469
GPU [30/100] 0.400677
GPU [31/100] 0.441328
GPU [32/100] 0.454831
GPU [33/100] 0.397861
GPU [34/100] 0.438998
GPU [35/100] 0.447543
GPU [36/100] 0.432683
GPU [37/100] 0.440195
GPU [38/100] 0.446782
GPU [39/100] 0.39831
GPU [40/100] 0.442483
GPU [41/100] 0.451723
GPU [42/100] 0.399795
GPU [43/100] 0.44735
GPU [44/100] 0.385692
GPU [45/100] 0.437042
GPU [46/100] 0.459832
GPU [47/100] 0.391393
GPU [48/100] 0.443462
GPU [49/100] 0.447767
GPU [50/100] 0.400741
GPU [51/100] 0.43576
GPU [52/100] 0.447931
GPU [53/100] 0.403791
GPU [54/100] 0.448306
GPU [55/100] 0.477069
GPU [56/100] 0.388099
GPU [57/100] 0.442668
GPU [58/100] 0.460944
GPU [59/100] 0.387062
GPU [60/100] 0.440798
GPU [61/100] 0.445402
GPU [62/100] 0.391996
GPU [63/100] 0.437807
GPU [64/100] 0.44838
GPU [65/100] 0.404555
GPU [66/100] 0.462921
GPU [67/100] 0.464714
GPU [68/100] 0.407074
GPU [69/100] 0.447566
GPU [70/100] 0.466539
GPU [71/100] 0.385155
GPU [72/100] 0.445986
GPU [73/100] 0.446889
GPU [74/100] 0.397474
GPU [75/100] 0.445869
GPU [76/100] 0.457939
GPU [77/100] 0.402217
GPU [78/100] 0.441738
GPU [79/100] 0.452302
GPU [80/100] 0.396363
GPU [81/100] 0.436905
GPU [82/100] 0.449227
GPU [83/100] 0.363636
GPU [84/100] 0.447046
GPU [85/100] 0.380243
GPU [86/100] 0.440629
GPU [87/100] 0.448438
GPU [88/100] 0.359318
GPU [89/100] 0.449375
GPU [90/100] 0.370903
GPU [91/100] 0.431384
GPU [92/100] 0.45024
GPU [93/100] 0.386923
GPU [94/100] 0.44284
GPU [95/100] 0.436489
GPU [96/100] 0.396702
GPU [97/100] 0.442447
GPU [98/100] 0.448466
GPU [99/100] 0.402205
GPU [100/100] 0.449722
GPU Average 0.474596
