time, temp
0.000865631, 62792
0.0115761, 63008
0.0220199, 63008
0.0325961, 63224
0.0430316, 63224
0.0534296, 63224
0.063865, 63224
0.0742026, 63440
0.0845037, 63440
0.0948825, 63656
0.105086, 63872
0.115358, 64088
0.125633, 64304
0.13583, 64304
0.146104, 64520
0.156363, 64520
0.166582, 64736
0.176835, 64736
0.187042, 64736
0.20276, 64736
0.213016, 64736
0.223221, 64736
0.2334, 64736
0.243597, 64520
0.253771, 64520
0.263974, 64520
0.274169, 64520
0.284358, 64304
0.294574, 64304
0.304765, 64304
0.314956, 64304
0.325134, 64304
0.335311, 64304
0.34549, 64304
0.355722, 64304
0.366048, 64520
0.376311, 64952
0.386593, 65384
0.396937, 66464
0.407229, 66896
0.41762, 67328
0.427957, 68192
0.438231, 68624
0.448505, 69272
0.458795, 69704
0.469082, 69920
0.479389, 70136
0.489697, 70352
0.499967, 70568
0.510294, 70784
0.520596, 70784
0.530919, 70784
0.541223, 71000
0.551526, 71216
0.561823, 71432
0.572137, 71432
0.582435, 71648
0.592708, 71864
0.60302, 72080
0.61334, 72296
0.623685, 72080
0.634004, 72296
0.644333, 72080
0.654633, 72296
0.664972, 72296
0.67534, 72080
0.68559, 72296
0.695862, 74240
0.706072, 74888
0.716323, 75104
0.726565, 75320
0.73674, 75320
0.746994, 73160
0.757214, 72728
0.767415, 72728
0.77762, 72728
0.78781, 72728
0.797984, 72944
0.808164, 72944
0.818371, 73160
0.828578, 73160
0.83879, 72944
0.849114, 72944
0.859379, 72944
0.869618, 72512
0.879884, 72512
0.890138, 72296
0.900401, 72080
0.910659, 72296
0.920946, 72512
0.931207, 72512
0.941435, 72728
0.951731, 72728
0.961987, 72728
0.972216, 72944
0.982486, 72944
0.99274, 72944
1.00303, 72944
1.01325, 72728
1.02347, 72728
1.03374, 72944
1.04397, 73160
1.0542, 72944
1.06447, 73160
1.07474, 72944
1.08841, 74888
1.09867, 76400
1.10898, 77264
1.11911, 77912
1.12923, 78128
1.13934, 78992
1.14946, 79208
1.15959, 79208
1.16971, 79208
1.17983, 79424
1.18995, 79208
1.20007, 76832
1.21019, 76184
1.22032, 75752
1.23043, 75536
1.24054, 75320
1.25066, 75104
1.26078, 75104
1.27091, 75104
1.28103, 75104
1.29115, 74888
1.30126, 74888
1.31138, 74888
1.32152, 74672
1.33166, 74888
1.34185, 77264
1.35197, 76184
1.36209, 75104
1.37222, 78128
1.38234, 78344
