time, temp
0.000551044, 66680
0.0110276, 66896
0.0213964, 67328
0.031809, 67544
0.0424236, 67328
0.0531966, 67544
0.0635732, 67544
0.0738987, 67760
0.0848738, 67760
0.0952837, 68192
0.105566, 68192
0.11587, 68192
0.13088, 68408
0.141131, 68408
0.151316, 68624
0.161545, 68624
0.17176, 69488
0.182089, 69704
0.192376, 69704
0.202631, 69488
0.212895, 69272
0.223184, 69272
0.233569, 69488
0.243943, 69704
0.25433, 69920
0.264711, 70568
0.275073, 70784
0.285457, 70352
0.295876, 70568
0.306298, 70784
0.316738, 71000
0.327323, 71216
0.337889, 71216
0.34834, 71864
0.358817, 71000
0.369348, 71000
0.379831, 71216
0.390252, 71432
0.400673, 71864
0.411019, 73808
0.421467, 74024
0.431714, 73808
0.441903, 74024
0.452085, 74240
0.462255, 74456
0.47256, 74888
0.482974, 75320
0.493333, 75320
0.503777, 75752
0.514095, 75968
0.52441, 76400
0.534707, 76832
0.545055, 76616
0.555355, 78344
0.565737, 77480
0.576124, 77696
0.5866, 76616
0.597123, 76184
0.607559, 77048
0.618283, 77048
0.628945, 77264
0.639442, 77048
0.64974, 78560
0.660039, 79424
0.670424, 82664
0.680874, 83528
0.69124, 81584
0.701673, 80936
0.712008, 81368
0.722355, 80504
0.732665, 82016
0.742962, 81800
0.753317, 80072
0.76367, 80288
0.774351, 80936
0.784946, 80504
0.795575, 80288
0.806058, 80504
0.816389, 80720
0.826697, 81152
0.83702, 83096
0.847438, 81800
0.857754, 82232
0.868072, 83528
0.878501, 82880
0.88894, 81800
0.899286, 81800
0.909666, 80936
0.920061, 79640
0.930397, 81152
0.94101, 80720
0.951606, 80720
0.962173, 80720
0.972478, 80504
0.982778, 81152
0.993246, 82232
1.00367, 82448
1.01418, 83096
1.02472, 82448
1.0352, 82880
1.04568, 82016
1.05609, 81584
1.06644, 82016
1.07688, 80288
1.0873, 79640
1.09777, 79424
1.10817, 79208
1.11857, 79208
1.12896, 81584
1.13956, 82448
1.1501, 81800
1.1607, 81368
1.17102, 80720
1.18132, 80936
1.19162, 82232
1.20193, 82880
1.21223, 83096
1.22261, 83096
1.23303, 82880
1.2436, 83312
1.25421, 83096
1.2649, 82232
1.27515, 81368
1.28548, 81152
1.29572, 81152
1.30632, 81584
1.31746, 82016
1.32804, 82448
1.33847, 82664
1.3489, 80720
1.35921, 80072
1.36962, 80936
1.38002, 81152
1.39036, 81368
1.40066, 83096
1.41098, 83312
1.42136, 84176
1.43169, 84608
1.44209, 82448
1.45253, 82016
1.46312, 82016
1.47367, 82664
1.48408, 82448
1.49482, 81800
1.50537, 81584
1.51566, 81368
1.52587, 81152
1.53622, 81584
1.54654, 82016
1.55705, 82664
1.56741, 82448
1.57783, 82880
1.58816, 83312
1.59849, 83096
1.60879, 83096
1.61908, 83096
1.62947, 83528
1.63986, 83960
1.65023, 82880
1.66062, 82232
1.671, 82880
1.68166, 82232
1.69223, 82232
1.70265, 82016
1.71296, 81584
1.72322, 81584
1.73361, 83312
1.74404, 84608
1.75446, 84176
1.76489, 82664
1.77525, 81368
1.78559, 80936
1.79584, 81368
1.80615, 82448
1.81654, 83096
1.82698, 80936
1.83752, 80720
1.84795, 80504
1.85844, 80504
1.86876, 82664
1.87911, 82664
1.88972, 82448
1.90017, 82448
1.91054, 81800
1.92088, 81584
1.93125, 82448
1.94166, 82448
1.95197, 82880
1.96237, 82448
1.97271, 82664
1.98305, 83528
1.99339, 83744
2.00377, 84176
2.01419, 83096
2.02474, 82664
2.03512, 81368
2.04557, 80720
2.05592, 81584
2.06653, 82016
2.07722, 82016
2.08768, 82016
2.09799, 82016
2.10825, 82016
2.11849, 82880
2.12867, 83744
2.13893, 84608
2.14928, 84176
2.1597, 83312
2.17008, 83528
2.1805, 83744
2.19089, 83528
2.20126, 83528
2.21155, 81800
2.22184, 82232
2.23219, 82232
2.24278, 82016
2.25351, 81800
2.26395, 81800
2.27432, 81800
2.28472, 82232
2.2951, 83096
2.30555, 83312
2.31595, 83312
2.32644, 84176
2.33675, 83744
2.34712, 83744
2.3575, 83312
2.36794, 83960
2.37837, 83096
2.3888, 82232
2.39922, 80936
2.4096, 80504
2.41996, 80936
2.43034, 82664
2.44107, 82880
2.45179, 82880
2.46245, 82664
2.47293, 82880
2.48325, 82232
2.49368, 82880
2.50411, 83096
2.51466, 83960
2.52526, 84176
2.53577, 83528
2.54618, 82880
2.55644, 82016
2.56691, 82016
2.57735, 83312
2.58778, 83096
2.59813, 82016
2.60855, 81368
2.61888, 81800
2.62921, 81800
2.63955, 81584
2.6502, 82016
2.66078, 82448
2.67112, 81584
2.68153, 82016
2.6919, 83528
2.70243, 84176
2.71295, 83528
2.72335, 84392
2.73378, 84392
2.74416, 84824
2.75455, 84176
2.76506, 83096
2.77544, 81800
2.78572, 80936
2.79595, 81368
2.80627, 83312
2.81678, 84608
2.8273, 84176
2.83784, 83312
2.84825, 83096
2.85871, 82664
2.86908, 82664
2.87945, 82448
2.88978, 82664
2.9001, 82880
2.91041, 83096
2.9207, 83312
2.93099, 83528
2.94138, 83528
2.95177, 83744
2.96231, 83528
2.97289, 83528
2.98337, 83312
2.99381, 82880
3.00424, 83096
3.01464, 83528
3.02513, 83528
3.03537, 84176
3.0456, 83960
3.05623, 83312
3.06664, 83312
3.0771, 83312
3.0875, 83096
3.09799, 83096
3.10831, 82880
3.11865, 82880
3.12903, 83312
3.13934, 83744
3.14988, 83960
3.16029, 83960
3.1709, 83960
3.18141, 83528
3.19189, 83528
3.20233, 83528
3.21293, 83528
3.22326, 83528
3.23371, 83312
3.24413, 83528
3.25447, 83528
3.26484, 83744
3.27526, 83528
3.28569, 83744
3.29602, 83960
3.30644, 83960
3.31681, 83744
3.32717, 83096
3.3375, 82016
3.34787, 81800
3.35827, 82448
3.36876, 83312
3.37925, 81800
3.38968, 82448
3.40022, 82664
3.41094, 82664
3.42172, 82448
3.43221, 82448
3.44249, 82232
3.45277, 82448
3.46304, 83960
3.4733, 84824
3.48353, 85256
3.49381, 85040
3.50425, 84392
3.51455, 84608
3.52499, 81368
3.53536, 80936
3.5459, 80936
3.55661, 81584
3.56701, 81800
3.57756, 82016
3.5884, 81152
3.59907, 80720
3.6094, 80288
3.61978, 80504
3.63009, 80936
3.64038, 81152
3.65066, 80936
3.66098, 79856
3.67133, 79640
3.68169, 79640
3.69214, 79424
3.70263, 79424
3.71321, 79208
3.72366, 79856
3.73407, 79640
3.74449, 78992
3.75501, 80288
3.7662, 80288
3.77678, 80288
3.78753, 80288
3.79808, 80504
3.80855, 80288
3.81907, 79856
3.82973, 79424
3.84011, 78560
3.8505, 79208
3.86082, 79208
3.8711, 79424
3.88138, 79208
3.89167, 78776
3.90195, 78992
3.91232, 78992
3.92272, 78776
3.93323, 78776
3.94373, 78560
3.95442, 78344
3.9651, 78128
3.97562, 77912
3.98616, 78128
3.99678, 78128
4.00719, 78128
4.01753, 78344
4.02813, 80720
4.03897, 81152
4.04977, 80936
4.06067, 81152
4.07123, 81368
4.08172, 81152
4.09221, 81368
4.10265, 81152
4.11305, 83096
4.1234, 83960
4.13405, 84824
4.14436, 83528
4.15469, 82664
4.16501, 81368
4.17545, 80504
4.18581, 79856
4.1962, 79424
4.20646, 79208
4.21675, 81152
4.22716, 81152
4.23763, 81152
4.24815, 81584
4.25853, 82016
4.26879, 82232
4.2791, 82664
4.28956, 83096
4.29995, 83744
4.31039, 84392
4.32076, 84608
4.33121, 83744
4.34174, 82016
4.35207, 80288
4.36241, 79856
4.37268, 79640
4.38291, 79424
4.39323, 79208
4.40352, 78992
4.41381, 78992
4.42417, 78776
4.43474, 78776
4.44532, 78560
4.45575, 78128
4.46609, 78344
4.47641, 78128
4.48674, 78344
4.4972, 78344
4.50751, 78344
4.5179, 78344
4.52821, 78344
4.5386, 78992
4.54905, 82448
4.5594, 81800
4.56959, 80936
4.57988, 81152
4.59038, 81800
4.60075, 80288
4.61153, 80072
4.62199, 79856
4.63232, 79640
4.64265, 79424
4.65303, 80288
4.66326, 81152
4.67349, 81368
4.68372, 81368
4.69406, 81152
4.70458, 81152
4.71562, 80720
4.72592, 80288
4.73623, 79640
4.74661, 79640
4.75683, 81368
4.76714, 80072
4.77744, 79424
4.78777, 79856
4.79809, 81152
4.80838, 82016
4.81899, 82232
4.82957, 82232
4.83991, 82016
4.85036, 81800
4.86103, 80936
4.87129, 80936
4.88157, 81584
4.89181, 82016
4.90211, 82232
4.91249, 82448
4.92282, 82232
4.93326, 81584
4.94369, 80936
4.95396, 80288
4.96429, 79856
4.97464, 79640
4.98493, 80504
4.9953, 80720
5.00585, 80288
5.01876, 80936
5.02931, 81368
5.0397, 81584
5.04994, 81800
5.0602, 82664
5.07047, 83312
5.08073, 83744
5.09104, 84392
5.1014, 85040
5.11174, 82664
5.12205, 81584
5.13232, 81368
5.14257, 81584
5.15288, 81800
5.16323, 81584
5.1735, 81152
5.18379, 80720
5.19407, 80504
5.20434, 80504
5.21474, 80504
5.22518, 80720
5.23549, 81152
5.24591, 81152
5.25634, 81152
5.26677, 81368
5.27726, 80720
5.28755, 80288
5.29788, 79856
5.30823, 79208
5.31869, 79208
5.32913, 78992
5.33941, 79208
5.34973, 79640
5.36031, 79856
5.37134, 79856
5.38192, 80288
5.39229, 80720
5.40255, 80936
5.41278, 81152
5.42323, 82664
5.43364, 83312
5.44403, 83744
5.45446, 84608
5.46498, 84824
5.47536, 83528
5.48584, 82016
5.49613, 81368
5.50662, 81584
5.51708, 81800
5.52761, 81584
5.538, 80936
5.54833, 80720
5.55854, 80720
5.56877, 80720
5.57909, 80936
5.58942, 81368
5.59979, 80936
5.61013, 80504
5.6205, 79640
5.63074, 79424
