time, temp
0.000845837, 64952
0.0113714, 64952
0.0221402, 64952
0.0325824, 65168
0.0430189, 65168
0.0536862, 65600
0.0642706, 66032
0.0747737, 66032
0.0852795, 66248
0.0957592, 66248
0.10637, 66248
0.116896, 66464
0.127444, 66680
0.138091, 66680
0.148711, 66680
0.1592, 66680
0.169643, 66680
0.180027, 66680
0.191804, 67112
0.20374, 67976
0.214077, 68840
0.224403, 69272
0.234818, 69272
0.24513, 68192
0.255456, 68840
0.265837, 70784
0.27617, 71000
0.286482, 72080
0.296816, 73160
0.307258, 72944
0.317805, 72296
0.328287, 71216
0.338714, 70352
0.349117, 70136
0.359446, 70352
0.369955, 71000
0.380667, 70784
0.391232, 71000
0.401851, 71216
0.412242, 70784
0.422564, 71000
0.432975, 72080
0.443418, 72728
0.453952, 72296
0.464504, 73808
0.475201, 74672
0.485905, 74672
0.496413, 73808
0.506963, 72944
0.51733, 72296
0.527561, 72728
0.537814, 73376
0.548107, 73592
0.558374, 73376
0.568776, 73808
0.579183, 73808
0.589551, 74024
0.599973, 74456
0.610332, 74888
0.620754, 74672
0.631076, 75752
0.641371, 75536
0.651652, 75536
0.662031, 76184
0.672415, 76184
0.682931, 77048
0.693491, 77480
0.704004, 77048
0.714417, 75752
0.724814, 76400
0.735439, 76616
0.745848, 76184
0.756417, 76400
0.766782, 76400
0.777074, 76400
0.78742, 76184
0.797945, 79208
0.808338, 81584
0.818836, 81584
0.829158, 81584
0.839495, 83312
0.849843, 85688
0.860125, 86120
0.870541, 84824
0.880951, 81800
0.891481, 80504
0.902059, 79208
0.912702, 78776
0.923249, 78776
0.934007, 79424
0.944759, 80720
0.955371, 80936
0.965882, 81584
0.976162, 81584
0.98628, 81800
0.996394, 82880
1.00652, 83528
1.01663, 84176
1.02674, 83960
1.03684, 84176
1.04695, 83960
1.05706, 85472
1.06718, 86552
1.07738, 83528
1.08749, 81368
1.09762, 79640
1.10774, 78992
1.1179, 78992
1.12814, 79208
1.13857, 79640
1.14928, 82016
1.15972, 81368
1.17028, 81584
1.18089, 81800
1.19128, 80504
1.20163, 79856
1.21204, 81584
1.22237, 83096
1.23277, 85040
1.24319, 85040
1.2536, 86552
1.264, 86768
1.2744, 87416
1.28481, 83528
1.29539, 82448
1.30601, 81584
1.31668, 81152
1.3273, 80936
1.3379, 80504
1.34837, 80072
1.35848, 79640
1.36862, 79424
1.37883, 79208
1.38904, 79856
1.39961, 81368
1.41011, 82232
1.42074, 82232
1.43133, 82880
1.44183, 82880
1.45229, 81800
1.46262, 82232
1.47305, 83960
1.48342, 84824
1.49378, 86552
1.50411, 87200
1.51447, 87200
1.52485, 86984
1.53534, 87200
1.5459, 85904
1.55642, 83960
1.56701, 81800
1.57754, 81152
1.58803, 80720
1.59845, 82880
1.60891, 84392
1.61907, 83960
1.62918, 84608
1.63929, 84608
1.64941, 85472
1.65955, 83528
1.66969, 83096
1.67979, 83528
1.6899, 82880
1.70002, 83096
1.71013, 83312
1.72025, 83312
1.73036, 82880
1.74046, 83312
1.75057, 83312
1.76068, 82232
1.77079, 82016
1.7809, 82232
1.79102, 82232
1.80113, 81800
1.81124, 82016
1.82135, 81800
1.83147, 82880
1.84158, 83528
1.85169, 82664
1.8618, 81800
1.87191, 81584
1.88202, 81800
1.89222, 80936
1.90237, 80720
1.91259, 80072
1.92303, 80072
1.93325, 80720
1.94347, 80720
1.95372, 80936
1.96392, 81152
1.97413, 81368
1.98434, 81368
1.99456, 81800
2.00477, 82448
2.01518, 81584
2.02541, 81152
2.03586, 81152
2.04608, 81152
2.05629, 80720
2.0665, 79640
2.07672, 80072
2.08694, 80072
2.09721, 80504
2.10744, 80288
2.11781, 80720
2.12803, 81584
2.13827, 81368
2.14851, 82232
2.15873, 83096
2.16896, 83312
2.1792, 83528
2.18956, 84392
2.19987, 85040
2.21022, 86120
2.22066, 86768
2.23098, 87632
2.24146, 85904
