time, temp
0.00478492, 64952
0.0155579, 65168
0.0262741, 65168
0.0366991, 65384
0.0470934, 65384
0.0576909, 65600
0.0683951, 66032
0.0790128, 66032
0.089603, 66248
0.100035, 66248
0.110659, 66248
0.121241, 66464
0.131807, 66464
0.142427, 66896
0.152985, 67328
0.163474, 67328
0.173918, 67328
0.184332, 67328
0.194736, 67328
0.205133, 67544
0.215586, 67976
0.226034, 67976
0.236512, 68408
0.247017, 68408
0.257597, 68624
0.26835, 68408
0.278927, 68624
0.289516, 68624
0.300174, 68840
0.310848, 68624
0.321417, 68624
0.331998, 68840
0.342529, 68624
0.352926, 68840
0.363343, 68840
0.384225, 68624
0.394557, 69272
0.404907, 70136
0.415214, 70352
0.425506, 70568
0.435803, 70784
0.446161, 72296
0.456545, 73592
0.46691, 74672
0.477284, 75320
0.487983, 75536
0.498727, 75968
0.509367, 76400
0.519741, 77048
0.530026, 76832
0.540321, 78992
0.550604, 80936
0.560828, 82016
0.571281, 81368
0.581676, 81584
0.592119, 82016
0.6025, 82232
0.612931, 82448
0.623303, 81368
0.633666, 79856
0.644155, 80504
0.654767, 80936
0.66509, 80504
0.675632, 80288
0.686121, 80720
0.696471, 80504
0.706875, 81800
0.717309, 83528
0.727838, 83744
0.738411, 84824
0.748934, 83960
0.759466, 84824
0.769994, 86336
0.780465, 83744
0.790896, 82016
0.80132, 82664
0.811987, 83312
0.822518, 82448
0.833155, 82448
0.843933, 82448
0.854285, 82448
0.864704, 81152
0.875043, 80288
0.885362, 82664
0.895667, 83744
0.905982, 84176
0.916379, 85256
0.926785, 85472
0.937304, 85904
0.947865, 85904
0.958474, 85472
0.968895, 84824
0.979487, 85040
0.99006, 84392
1.0005, 84392
1.01071, 83528
1.02103, 82664
1.03147, 83528
1.04195, 84608
1.05235, 85040
1.0628, 85472
1.07311, 84824
1.08345, 84392
1.09376, 85472
1.1041, 85256
1.11455, 83528
1.12493, 82016
1.13532, 81368
1.14567, 83096
1.1561, 84176
1.16671, 83312
1.17733, 83312
1.18786, 83744
1.19819, 83096
1.20848, 82448
1.21883, 83744
1.22917, 84392
1.23968, 85472
1.25006, 86552
1.2605, 85688
1.27085, 85040
1.28115, 85688
1.29148, 86120
1.3018, 83744
1.31215, 84176
1.32262, 83744
1.33323, 83096
1.34373, 82664
1.35404, 82016
1.36435, 82016
1.3748, 82880
1.38535, 83960
1.39584, 84392
1.40631, 84176
1.41667, 83744
1.42691, 84608
1.43708, 86120
1.44731, 86552
1.45773, 85256
1.46851, 85904
1.47898, 84176
1.48952, 83744
1.50014, 83312
1.51074, 83096
1.52107, 82232
1.53142, 81368
1.54181, 81800
1.55211, 82880
1.56248, 83312
1.57289, 84176
1.58326, 84176
1.59368, 85040
