unning Scheduler
Images = 100
Inferences = 1
Sleeping for 5 seconds
Main thread running
CPU Big: Started process
GPU: Started process
CPU Small: Started process
tdiff = 5.00008, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 79640, val = 2
tdiff = 10.009, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 75968, val = 4
tdiff = 15.0099, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77264, val = 9
tdiff = 20.0078, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 75752, val = 14
tdiff = 25.0126, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 75752, val = 18
tdiff = 30.0035, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 79208, val = 23
tdiff = 35.0076, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 75752, val = 27
tdiff = 40.0007, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 79208, val = 31
tdiff = 45.0041, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78128, val = 36
tdiff = 50.0074, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 76616, val = 40
tdiff = 55.0096, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 81368, val = 45
tdiff = 60.0104, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77264, val = 49
tdiff = 65.0021, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 80720, val = 53
tdiff = 70.0005, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77480, val = 57
tdiff = 75.0092, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 79424, val = 62
tdiff = 80.0061, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83528, val = 66
tdiff = 85.003, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78992, val = 69
tdiff = 90.0014, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 82232, val = 74
tdiff = 95.0068, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78344, val = 78
tdiff = 100.008, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 79856, val = 83
tdiff = 105.003, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 82016, val = 87
tdiff = 110.007, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77912, val = 91
tdiff = 115.003, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78776, val = 95
1.1984 per image
1.1984 per inference
