TL = 80000
dt = 100000
***
Running Scheduler
Images = 100
Inferences = 1
Sleeping for 5 seconds
TL = 80000
dt = 100000
***
Running Scheduler
Images = 100
Inferences = 1
Sleeping for 5 seconds
Main thread running
tdiff = 5.0227, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 76616, val = 2
tdiff = 10.055, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 75104, val = 6
tdiff = 15.0975, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 76400, val = 10
tdiff = 20.0344, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 76832, val = 15
tdiff = 25.0753, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77912, val = 20
tdiff = 30.0152, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 75104, val = 25
tdiff = 35.0552, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77696, val = 30
tdiff = 40.0948, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 76616, val = 34
tdiff = 45.0307, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 79424, val = 38
tdiff = 50.0733, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77696, val = 43
tdiff = 55.0137, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 79640, val = 48
tdiff = 60.0585, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77264, val = 53
tdiff = 65.0969, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 76832, val = 57
tdiff = 70.0292, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77480, val = 62
tdiff = 75.0619, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78560, val = 67
tdiff = 80.0274, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77264, val = 72
tdiff = 85.0686, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 82880, val = 75
tdiff = 90.0246, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77480, val = 80
tdiff = 95.069, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77696, val = 84
tdiff = 100.003, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77480, val = 89
tdiff = 105.037, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78560, val = 94
tdiff = 110.087, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77048, val = 97
1.12099 per image
1.12099 per inference
