unning Scheduler
Images = 100
Inferences = 1
Sleeping for 5 seconds
Main thread running
CPU Small: Started process
CPU Big: Started process
GPU: Started process
tdiff = 5.00442, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 82880, val = 2
tdiff = 10.004, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 80936, val = 5
tdiff = 15.0003, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 82880, val = 8
tdiff = 20.0051, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78128, val = 12
tdiff = 25.0081, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 77480, val = 17
tdiff = 30.0021, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78560, val = 22
tdiff = 35.0055, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 79208, val = 25
tdiff = 40.0015, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 81368, val = 30
tdiff = 45.0082, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 80504, val = 33
tdiff = 50.0047, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78560, val = 38
tdiff = 55.0069, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 79424, val = 43
tdiff = 60.0061, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 79640, val = 46
tdiff = 65.0084, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83528, val = 51
tdiff = 70.0013, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 80504, val = 54
tdiff = 75.0067, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 79208, val = 58
tdiff = 80.0036, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 80504, val = 63
tdiff = 85.0043, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78128, val = 66
tdiff = 90.005, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 79424, val = 70
tdiff = 95.0008, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78776, val = 75
tdiff = 100, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 84176, val = 78
tdiff = 105.006, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83744, val = 81
tdiff = 110.005, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 81800, val = 84
tdiff = 115.009, run_cpu_small = 0, run_cpu_big = 1, run_gpu = 1, temp = 78992, val = 88
tdiff = 120.004, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 81152, val = 92
tdiff = 125, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 80072, val = 95
tdiff = 130.003, run_cpu_small = 0, run_cpu_big = 0, run_gpu = 0, temp = 83096, val = 99
1.32022 per image
1.32022 per inference
