time,temp
0.000902085, 62360
0.011587, 62360
0.0222792, 62360
0.0327667, 62576
0.0432022, 62576
0.0538835, 62576
0.0645366, 62792
0.0750595, 62792
0.0856335, 62792
0.096195, 63008
0.106684, 63008
0.117354, 63008
0.128075, 63008
0.138861, 63008
0.149808, 63008
0.160453, 63224
0.171063, 63224
0.181692, 63008
0.192416, 63224
0.203155, 63224
0.214045, 63008
0.224714, 63224
0.235365, 63224
0.246089, 63224
0.2568, 63224
0.267467, 63440
0.278049, 65168
0.288572, 66248
0.299101, 67112
0.309608, 67544
0.319987, 68840
0.330294, 68408
0.340789, 69704
0.351192, 69920
0.361638, 72080
0.372111, 71432
0.382572, 71216
0.392976, 71216
0.403335, 71648
0.413672, 71648
0.4241, 72512
0.434609, 72512
0.445162, 71432
0.45537, 73376
0.465619, 72944
0.475971, 73160
0.486311, 73376
0.496612, 73592
0.50689, 74672
0.517207, 74456
0.527568, 75320
0.537864, 73808
0.548226, 73376
0.558582, 74024
0.568992, 75968
0.579436, 76184
0.58976, 76400
0.600149, 76616
0.61046, 76400
0.620644, 76832
0.630826, 77480
0.641178, 77696
0.651519, 78344
0.66182, 77048
0.672125, 76616
0.682467, 77048
0.692791, 77696
0.703106, 79424
0.713422, 78992
0.723821, 79208
0.734153, 78992
0.744497, 78776
0.754927, 78776
0.765306, 78992
0.775622, 79208
0.785947, 80504
0.796288, 78344
0.806662, 77264
0.817175, 77696
0.827599, 79424
0.837979, 77480
0.84833, 79856
0.858694, 80072
0.869057, 80504
0.879402, 81152
0.889837, 82232
0.900364, 83960
0.910764, 85040
0.921235, 81800
0.931632, 80936
0.941946, 81368
0.952271, 83960
0.962577, 82016
0.97292, 85256
0.983234, 85688
0.993601, 85040
1.00393, 84824
1.01426, 85040
1.02469, 86336
1.03511, 87416
1.04549, 83960
1.05589, 83960
1.06641, 83528
1.07681, 85040
1.08713, 85904
1.09783, 85688
1.10818, 86336
1.11857, 85688
1.129, 86336
1.13946, 86552
1.14988, 86552
1.16029, 86768
1.17071, 84176
1.18105, 82016
1.19131, 81800
1.20158, 82880
1.21179, 85256
1.22212, 84392
1.23254, 86336
1.24286, 86552
1.25317, 86768
1.26351, 88064
1.27382, 88280
1.28414, 89144
1.29455, 85904
1.3049, 84824
1.31526, 83528
1.32564, 85904
1.33596, 87632
1.34628, 89144
1.35668, 87416
1.36726, 85904
1.37762, 86336
1.38799, 87200
1.39844, 88280
1.40889, 89360
1.41931, 87200
1.42963, 83960
1.44004, 83960
1.45051, 85688
1.46092, 87200
1.47132, 87416
1.48172, 86984
1.4922, 85904
1.50257, 85040
1.513, 85256
1.52332, 88064
1.5336, 88496
1.54391, 88280
1.55428, 85688
